iter	Accuracy	MultiClass
349	0.7960893855	0.5666494003
350	0.7960893855	0.5663310457
351	0.7960893855	0.5647124222
352	0.7960893855	0.5644689886
353	0.7960893855	0.564268652
354	0.7960893855	0.5633626847
355	0.7960893855	0.5629631819
356	0.7960893855	0.5623772859
357	0.7960893855	0.5620393451
358	0.7960893855	0.5615917006
359	0.7960893855	0.5611502302
360	0.7960893855	0.5602191753
361	0.7960893855	0.5598941556
362	0.7960893855	0.5593072792
363	0.7960893855	0.5586829911
364	0.7960893855	0.5577289028
365	0.7988826816	0.5571879653
366	0.7988826816	0.5568093199
367	0.7988826816	0.5564682471
368	0.7960893855	0.5555510156
369	0.7960893855	0.554802347
370	0.7960893855	0.5546663533
371	0.7988826816	0.5538009564
372	0.7988826816	0.5529889082
373	0.8016759777	0.5523253232
374	0.7988826816	0.5520291773
375	0.8016759777	0.5517462606
376	0.8044692737	0.5507157829
377	0.8072625698	0.550453359
378	0.8072625698	0.5496577307
379	0.8016759777	0.5489622677
380	0.8072625698	0.5487868212
381	0.8072625698	0.5482304359
382	0.8072625698	0.5472459995
383	0.8072625698	0.5471529739
384	0.8100558659	0.5462298949
385	0.8156424581	0.5451819553
386	0.8156424581	0.5440374481
387	0.8072625698	0.5436400521
388	0.812849162	0.5422043634
389	0.812849162	0.5410934647
390	0.8156424581	0.5407456404
391	0.8156424581	0.5391539759
392	0.8156424581	0.5379236217
393	0.8156424581	0.5372317575
394	0.8156424581	0.5364756484
395	0.8156424581	0.5360481978
396	0.8156424581	0.5356766408
397	0.8156424581	0.5352730825
398	0.8156424581	0.5345883603
399	0.8156424581	0.5340541141
400	0.8156424581	0.5335161501
401	0.812849162	0.5326792418
402	0.8156424581	0.532199606
403	0.8212290503	0.5310490809
404	0.8212290503	0.5306254471
405	0.8212290503	0.5296760912
406	0.8212290503	0.5291429334
407	0.8268156425	0.5284866756
408	0.8240223464	0.5283724853
409	0.8268156425	0.5269709048
410	0.8268156425	0.5259882083
411	0.8296089385	0.5256662671
412	0.8296089385	0.5250367054
413	0.8296089385	0.5248317923
414	0.8296089385	0.524250195
415	0.8296089385	0.5238843153
416	0.8296089385	0.5235116369
417	0.8324022346	0.5231877835
418	0.8296089385	0.5226930354
